user_id,user_grade,user_sex,user_region,user_city,user_community,user_school,user_current_grade,user_created_at,user_updated_at,help_answers_id,help_answers_user_id,help_answers_grade,help_answers_test_id,help_answers_answer,help_answers_comment,help_test_id,region_name
128,9,0,11,11,279,571,9,2019-06-11 13:21:03,2019-06-12 07:44:47,560,128,9,18,,Ինձ համար բոլորն էլ կարևոր էին,18,Armavir
128,9,0,11,11,279,571,9,2019-06-11 13:21:03,2019-06-12 07:44:47,561,128,9,19,,Ինձ թվում է ամեն բան ճիշտ է մտածված,19,Armavir
128,9,0,11,11,279,571,9,2019-06-11 13:21:03,2019-06-12 07:44:47,563,128,9,21,,Չկան,21,Armavir
138,9,1,11,10,238,507,9,2019-06-11 18:00:09,2019-06-11 18:00:09,425,138,9,18,,խուսափել պատահական  սեռական հարաբերություններից,18,Armavir
169,9,0,7,33,669,1210,8,2019-06-13 14:33:27,2019-06-22 17:44:10,702,169,9,18,,Ընդհանուր առմամբ դասընթացի նյութերին ծանոթ էի դեռևս առողջ ապրելակերպի դասաժամերից։,18,Syuniq
169,9,0,7,33,669,1210,8,2019-06-13 14:33:27,2019-06-22 17:44:10,703,169,9,19,,Կարծում եմ՝դասընթացը լիարժեք գիտելիքներ է տալիս;բարելավելու կարիք չկա։,19,Syuniq
169,9,0,7,33,669,1210,8,2019-06-13 14:33:27,2019-06-22 17:44:10,705,169,9,21,,Այլ առաջարկներ չկան։,21,Syuniq
321,9,0,7,34,673,1223,9,2019-06-18 09:13:47,2019-06-18 09:13:47,899,321,9,18,,Իմացա ՄԻԱՎ և ՁԻԱՀ հինանդությունների լրջության մասին ։,18,Syuniq
321,9,0,7,34,673,1223,9,2019-06-18 09:13:47,2019-06-18 09:13:47,900,321,9,19,,"Իմ կարծիքով ամեն ինչ լավ էր կազմակերպված,սակայն,կարելի է նաև այլ հիվանդությունների անդրադառնալ։",19,Syuniq
321,9,0,7,34,673,1223,9,2019-06-18 09:13:47,2019-06-18 09:13:47,902,321,9,21,,Հաճախ կազմակերպել այսպիսի դասընթացներ։ր,21,Syuniq
394,9,1,4,26,520,983,9,2019-06-20 19:04:48,2019-06-20 20:38:33,1137,394,9,18,,ինչպես խուսափել սեռավարակներից,18,Shirak
431,9,0,7,34,673,1223,9,2019-06-25 13:11:20,2019-06-25 13:11:20,1525,431,9,18,,պետք է լինել  ուշադիր հիգենիկ,18,Syuniq
431,9,0,7,34,673,1223,9,2019-06-25 13:11:20,2019-06-25 13:11:20,1526,431,9,19,,ավելի շատ բան իմանալ,19,Syuniq
431,9,0,7,34,673,1223,9,2019-06-25 13:11:20,2019-06-25 13:11:20,1528,431,9,21,,չկան,21,Syuniq
