user_id,user_grade,user_sex,user_region,user_city,user_community,user_school,user_current_grade,user_created_at,user_updated_at,help_answers_id,help_answers_user_id,help_answers_grade,help_answers_test_id,help_answers_answer,help_answers_comment,help_test_id,region_name
36,10,0,11,10,228,497,11,2019-06-06 13:01:39,2019-06-06 19:31:09,273,36,10,18,,Cankacac ban vor sovoreci im karciqov shat pitani e ev kirareli,18,Armavir
36,10,0,11,10,228,497,11,2019-06-06 13:01:39,2019-06-06 19:31:09,274,36,10,19,,das@ntac@ terutyunner chuner sakayn  aveli gexecik kliner ete test@ hagecac liner nkarnerov ,19,Armavir
36,10,0,11,10,228,497,11,2019-06-06 13:01:39,2019-06-06 19:31:09,276,36,10,21,,Im karciqov kareli e nman test lracnel informatikayi dasajamerin vorpisi hasaneli lini 8-11 dasaranneri bolor ashakertnerin,21,Armavir
73,10,0,11,10,237,506,10,2019-06-07 15:34:45,2019-06-07 15:34:45,315,73,10,18,,"Կարևոր էր իմանալ,որ մի շարք անցանկալի խնդիրներից հեռու մնալու համար անհրաժեշտ է դրսևորել պատասխանատու վարքագիծ: Լինել տեղեկացված,որպեսզի խուսափենք բռնությունից,հիվանդություններից:",18,Armavir
73,10,0,11,10,237,506,10,2019-06-07 15:34:45,2019-06-07 15:34:45,316,73,10,19,,"Կարելի է մի քանի թեմա ևս ավելացնել,թեմայի հետ կապված հարցերով:",19,Armavir
73,10,0,11,10,237,506,10,2019-06-07 15:34:45,2019-06-07 15:34:45,318,73,10,21,,"Միայն առաջարկում եմ,որ այս դասընթացներում այլ թեմաների շուրջ հարցեր ևս կազմվեն,որոնք մենք ևս անցել ենք:",21,Armavir
92,10,0,11,10,228,497,10,2019-06-08 18:50:43,2019-06-08 18:50:43,463,92,10,18,,"Ամեն  քայլ կատարելուց մտածել առողջության մասին, չհետևել ցանկություններին անտեսելով առողջությանը, չլսել և չհավատալ անծանոթ մեկի տված խորհուրդները։",18,Armavir
92,10,0,11,10,228,497,10,2019-06-08 18:50:43,2019-06-08 18:50:43,464,92,10,19,,"Բարելավելու համար կառաջարկեի շատ օրինակներ լիներ առօրյա կյանքից, հետաքրքիր դարձնելու համար կառաջարկեմ, որ շատ տեսանյութեր լինի,բայց ինձ համար շատ հետաքրքիր,հաճելի և ուսանելի էր այս դասընթացը։",19,Armavir
92,10,0,11,10,228,497,10,2019-06-08 18:50:43,2019-06-08 18:50:43,466,92,10,21,,Կառաջարկեի այս թեստը քննարկումներով անցել և խմբակային։,21,Armavir
139,10,0,11,11,255,540,8,2019-06-11 20:24:04,2019-06-11 20:48:32,501,139,10,18,,Պատասխանատու վարքագիծը,18,Armavir
139,10,0,11,11,255,540,8,2019-06-11 20:24:04,2019-06-11 20:48:32,502,139,10,19,,Առցանց դասընթացի շնորհիվ,19,Armavir
